Season,Lg,Champion,Runner-Up,Finals_MPV,Top_Performer_Points,Top_Performer_Rebounds,Top_Performer_Assists,Top_Performer_Win_Shares,
2014,NBA,SAS,MIA,lleonaka01,dduranke01,dduncati01,wwestbru01,jjamesle01,
2013,NBA,MIA,SAS,jjamesle01,jjamesle01,dduncati01,jjamesle01,jjamesle01,
2012,NBA,MIA,OKC,jjamesle01,jjamesle01,jjamesle01,rrondora01,jjamesle01,
2011,NBA,DAL,MIA,nnowitdi01,nnowitdi01,cchandty01,kkiddja01,jjamesle01,
2010,NBA,LAL,BOS,bbryanko01,bbryanko01,ggasolpa01,rrondora01,ggasolpa01,
2009,NBA,LAL,ORL,bbryanko01,bbryanko01,hhowardw01,rrondora01,jjamesle01,
2008,NBA,BOS,LAL,ppiercpa01,bbryanko01,ggarneke01,rrondora01,ggarneke01,
2007,NBA,SAS,CLE,pparketo01,jjamesle01,dduncati01,jjamesle01,jjamesle01,
2006,NBA,MIA,DAL,wwadedw01,wwadedw01,nnowitdi01,nnashst01,nnowitdi01,
2005,NBA,SAS,DET,dduncati01,dduncati01,dduncati01,nnashst01,bbilluch01,
2004,NBA,DET,LAL,bbilluch01,bbryanko01,wwallabe01,bbilluch01,oonealsh01,
2003,NBA,SAS,NJN,dduncati01,dduncati01,dduncati01,kkiddja01,dduncati01,
2002,NBA,LAL,NJN,oonealsh01,oonealsh01,oonealsh01,kkiddja01,oonealsh01,
2001,NBA,LAL,PHI,oonealsh01,iiversal01,mmutomdi01,iiversal01,bbryanko01,
2000,NBA,LAL,IND,oonealsh01,oonealsh01,oonealsh01,jjacksma01,oonealsh01,
1999,NBA,SAS,NYK,dduncati01,ssprewla01,dduncati01,jjohnsav01,dduncati01,
1998,NBA,CHI,UTA,jjordami01,jjordami01,rrodmade01,sstockjo01,jjordami01,
1997,NBA,CHI,UTA,jjordami01,jjordami01,mmalonka01,sstockjo01,jjordami01,
1996,NBA,CHI,SEA,jjordami01,jjordami01,rrodmade01,sstockjo01,jjordami01,
1995,NBA,HOU,ORL,oolajuha01,oolajuha01,oonealsh01,hhardaan01,oonealsh01,
1994,NBA,HOU,NYK,oolajuha01,oolajuha01,eewingpa01,sstockjo01,oolajuha01,
1993,NBA,CHI,PHO,jjordami01,jjordami01,bbarklch01,jjohnske02,bbarklch01,
1992,NBA,CHI,POR,jjordami01,jjordami01,ggrantho01,sstockjo01,jjordami01,
1991,NBA,CHI,LAL,jjordami01,jjordami01,rrodmade01,jjohnsma02,jjordami01,
1990,NBA,DET,POR,tthomais01,jjordami01,llaimbbi01,jjohnske02,jjordami01,
1989,NBA,DET,LAL,ddumarjo01,jjordami01,rrodmade01,jjohnsma02,jjordami01,
1988,NBA,LAL,DET,wworthja01,wworthja01,llaimbbi01,jjohnsma02,jjohnsma02,
1987,NBA,LAL,BOS,jjohnsma02,bbirdla01,bbirdla01,jjohnsma02,jjohnsma02,
1986,NBA,BOS,HOU,bbirdla01,oolajuha01,oolajuha01,jjohnsma02,bbirdla01,
1985,NBA,LAL,BOS,aabdulka01,bbirdla01,pparisro01,jjohnsma02,jjohnsma02,
1984,NBA,BOS,LAL,bbirdla01,bbirdla01,bbirdla01,jjohnsma02,bbirdla01,
1983,NBA,PHI,LAL,mmalonmo01,aabdulka01,mmalonmo01,jjohnsma02,mmalonmo01,
1982,NBA,LAL,PHI,jjohnsma02,eervinju01,jjonesca01,ccheekma01,eervinju01,
1981,NBA,BOS,HOU,mmaxwece01,mmalonmo01,mmalonmo01,ccheekma01,mmalonmo01,
1980,NBA,LAL,PHI,jjohnsma02,aabdulka01,jjonesca01,jjohnsma02,aabdulka01,
1979,NBA,SEA,WSB,jjohnsde01,wwilligu01,hhayesel01,hhendeto01,wwilligu01,
1978,NBA,WSB,SEA,uunselwe01,hhayesel01,wwebstma01,hhendeto01,hhayesel01,
1977,NBA,POR,PHI,wwaltobi01,eervinju01,wwaltobi01,wwaltobi01,eervinju01,
1976,NBA,BOS,PHO,wwhitejo01,wwhitejo01,ccowenda01,wwhitejo01,ccowenda01,
1976,ABA,NYA,DNA,,eervinju01,eervinju01,ddampilo01,eervinju01,
1975,NBA,GSW,WSB,bbarryri01,bbarryri01,uunselwe01,pporteke01,bbarryri01,
1975,ABA,KEN,INA,,mmcginge01,mmcginge01,mmcginge01,ggilmoar01,
1974,NBA,BOS,MIL,hhavlijo01,aabdulka01,aabdulka01,rroberos01,aabdulka01,
1974,ABA,NYA,UTS,,wwisewi01,ggovange01,bboonero01,eervinju01,
1973,NBA,NYK,LAL,rreedwi01,wwestje01,cchambwi01,wwestje01,ffraziwa01,
1973,ABA,INA,KEN,,iisselda01,ggilmoar01,llewisfr02,iisselda01,
1972,NBA,LAL,NYK,cchambwi01,ffraziwa01,cchambwi01,wwestje01,ffraziwa01,
1972,ABA,INA,NYA,,bbarryri01,ddanieme01,llewisfr02,eervinju01,
1971,NBA,MIL,BAL,aabdulka01,mmonroea01,uunselwe01,rroberos01,aabdulka01,
1971,ABA,UTS,KEN,,iisselda01,bbeatyze01,ddampilo01,iisselda01,
1970,NBA,NYK,LAL,rreedwi01,wwestje01,cchambwi01,ffraziwa01,wwestje01,
1970,ABA,INA,LAS,,hhaywosp01,ddanieme01,ccalvima01,bbrownro01,
1969,NBA,BOS,LAL,wwestje01,wwestje01,cchambwi01,wwestje01,wwestje01,
1969,ABA,OAK,INA,,jjabalwa01,ddanieme01,bbrownla01,bbrownro01,
1968,NBA,BOS,LAL,,hhavlijo01,rrussebi01,hhavlijo01,wwestje01,
1968,ABA,PTP,NOB,,hhawkico01,wwashitr01,bbrownla01,hhawkico01,
1967,NBA,PHI,SFW,,bbarryri01,cchambwi01,cchambwi01,cchambwi01,
1966,NBA,BOS,LAL,,wwestje01,rrussebi01,rrussebi01,rrussebi01,
1965,NBA,BOS,LAL,,wwestje01,rrussebi01,rrussebi01,rrussebi01,
1964,NBA,BOS,SFW,,cchambwi01,cchambwi01,rrodgegu01,cchambwi01,
1963,NBA,BOS,LAL,,bbayloel01,rrussebi01,ccousybo01,rrussebi01,
1962,NBA,BOS,LAL,,bbayloel01,rrussebi01,ccousybo01,rrussebi01,
1961,NBA,BOS,STL,,bbayloel01,rrussebi01,ccousybo01,bbayloel01,
1960,NBA,BOS,STL,,ppettibo01,rrussebi01,ccousybo01,rrussebi01,
1959,NBA,BOS,MNL,,bbayloel01,rrussebi01,ccousybo01,rramsefr01,
1958,NBA,STL,BOS,,hhagancl01,rrussebi01,ccousybo01,hhagancl01,
1957,NBA,BOS,STL,,ppettibo01,rrussebi01,ccousybo01,ppettibo01,
1956,NBA,PHW,FTW,,aarizipa01,jjohnsne01,kkingge01,aarizipa01,
1955,NBA,SYR,FTW,,sschaydo01,sschaydo01,pphillan01,sschaydo01,
1954,NBA,MNL,SYR,,mmikange01,mmikange01,mmartisl01,mmikange01,
1953,NBA,MNL,NYK,,mmikange01,mmikange01,mmcguidi01,mmikange01,
1952,NBA,MNL,NYK,,mmikange01,mmikange01,mmcguidi01,mmikange01,
1951,NBA,ROC,NYK,,rrisenar01,rrisenar01,mmcguidi01,wwanzebo01,
1950,NBA,MNL,SYR,,mmikange01,,ppollaji01,mmikange01,
1949,BAA,MNL,WSC,,mmikange01,,ppollaji01,mmikange01,
1948,BAA,BLB,PHW,,ffulksjo01,,ddallmho01,ssimmoco01,
1947,BAA,PHW,CHS,,ffulksjo01,,ddallmho01,ffulksjo01,
